Well Count,Total Water (bbl),Total Oil (bbl),Total Gas (cf),State,County,Average Water Per Well (bbl),Average TD (ft),Average Lateral Length (ft),Average GL Elevation (ft),Average Oil Per Well (bbl),Average Gas Per Well (cf),Average Emissions Per Well (tons),State,County,Pollutant,Emissions (tons),Pollutant,Emissions (tons),Pollutant,Emissions (tons),,
1074,492000000,720000000,2000000000,Alaska,Beechy Point,458101,10701,3886,12,670391,1862197,5,Alaska,Beechy Point,Sulfur Dioxide,3245.272,Carbon Monoxide,1147.677,Nitrogen Oxides,642.23,,
234,49000000,46000000,58000000000,Alaska,Harisson Bay,209402,13165,6592,26,196581,247863248,0,Alaska,Harisson Bay,,,,,,,,
76,105000000,95000000,51000000000,Alaska,Kenai,1381579,11584,1755,4,1250000,671052632,2607,Alaska,Kenai,Carbon Dioxide,175739.2,Carbon Monoxide,18476.03,Methanol,2832.31,Nitrogen Oxides,1047.05
46,472000000,268000,901000000,Arkansas,Columbia,10260870,8342,1913,112,5826,19586957,1354,Arkansas,Columbia,Carbon Dioxide,59514.47,Carbon Monoxide,1629.17,Methanol,1001.51,Nitrogen Oxides,121.1
796,17000000,967000,984000000,California,Kern,21357,1546,159,14,1215,1236181,2035,California,Kern,Carbon Dioxide,1589168,Carbon Monoxide,7094.3,Methanol,11658.05,Ammonia,11658.05
412,8000000,417000,135000000,California,Los Angeles,19417,4026,502,21,1012,327670,40787,California,Los Angeles,Carbon Dioxide,16736800,Carbon Monoxide,57544.61,Methane,7575.39,Ammonia,2455.52
119,108000,32000,29000000,California,Ventura,908,12716,119,0,269,243697,11196,California,Ventura,Carbon Dioxide,1325815,Carbon Monoxide,4432.55,Methanol,1608.05,Nitrogen Oxides,523.62
25,2000000,271000,22000000,California,Monterey,80000,2846,735,231,10840,880000,137094,California,Monterey,Carbon Dioxide,3213986,Carbon Monoxide,199026,Methanol,10070.17,Nitrogen Oxides,4265.42
15,436000,11000,1000000,California,San Luis Obispo,29067,3695,298,12,733,66667,515,California,San Luis Obispo,Carbon Dioxide,52.80714,Carbon Monoxide,4650.042,Ammonia,1852.047,Nitrogen Oxides,1170.841
37,4000000,37000,4000000000,Florida,Santa Rosa,108108,15935,226,166,1000,108108108,13847,Florida,Santa Rosa,Carbon Dioxide,482448,Carbon Monoxide,27849,Methane,1416.81,Nitrogen Oxides,633.19
814,12000,2000000,2000000000,Louisianna,Caddo,15,1379,4232,21,2457,2457002,786,Louisianna,Caddo,Carbon Dioxide,629756.4,Carbon Monoxide,7806.68,Methanol,1363.55,Nitrogen Oxides,900.55
92,218000,1000000,7000000000,Louisianna,Acadia,2370,6685,4743,39,10870,76086957,2945,Louisianna,Acadia,Carbon Dioxide,198384.1,Carbon Monoxide,69674.23,Methanol,2278.885,Nitrogen Oxides,613.3605
46,84000,3000000,7000000000,Louisianna,Beauregard,1826,7331,5066,5,65217,152173913,2993,Louisianna,Beauregard,Carbon Dioxide,128380,Carbon Monoxide,7162.21,Methanol,1703.2,Nitrogen Oxides,434.43
8,909000,1000000,2000000,Louisianna,Breton Sound,113625,8175,2593,-1,125000,250000,0,Louisianna,Breton Sound,,,,,,,,
131,49000,5000000,5000000000,Louisianna,Claibourne,374,3051,8495,25,38168,38167939,431,Louisianna,Claibourne,Carbon Dioxide,52266.7,Carbon Monoxide,2985.945,Methanol,1033.516,Nitrogen Oxides,123.8012
315,1000000,3000000,2000000000,Louisianna,La Salle,3175,2455,364,7,9524,6349206,109,Louisianna,La Salle,Carbon Dioxide,31513.35,Carbon Monoxide,1577.11,Methanol,1004.3,Nitrogen Oxides,232.29
127,47000,4000000,44000000000,Louisianna,LaFourche,370,6827,5161,0,31496,346456693,2192,Louisianna,LaFourche,Carbon Dioxide,268633,Carbon Monoxide,8481,Methanol,903.68,Nitrogen Oxides,364.9
115,24000,804000,5000000000,Louisianna,Lincoln,209,8385,5210,24,6991,43478261,1278,Louisianna,Lincoln,Carbon Dioxide,144220,Carbon Monoxide,1782.51,Methanol,657.47,Nitrogen Oxides,312.76
42,542000,16000000,18000000000,Louisianna,Main Pass,12905,8938,3275,0,380952,428571429,0,Louisianna,Main Pass,,,,,,,,
132,3000000,16000000,88000000000,Louisianna,Plaquemine,22727,8370,5001,0,121212,666666667,1469,Louisianna,Plaquemine,Carbon Dioxide,184422,Carbon Monoxide,4490,Methanol,328.64,Nitrogen Oxides,4617
